time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563177179.6755269,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177179.696528,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177179.757531,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
1563177180.001531,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.013531,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.015529,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
1563177180.01753,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.019526,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.0445468,#,0.02,50.0045657,8.4999636,-0.15,0.12,0.0,#,#,#,#,#,#,#,#
1563177180.04654,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.050536,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.052541,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.054549,#,#,#,#,#,#,#,#,#,#,#,-3.876939899782883e-06,-8.176955816452391e-06,#,#
1563177180.056525,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.058528,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.060528,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563177180.062532,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.064524,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.0665278,100,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.226158,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.257153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.261153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.263154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.270151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.271158,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.273151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.275152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.276157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.278151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.283154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.28415,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.2851489,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.287153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.2891538,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.2931519,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.298153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3101518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3131518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.31515,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.320158,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.328153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.3321528,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.335155,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
