time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563180845.2984118,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.302378,#,#,#,#,#,#,#,#,#,#,#,-3.877003109664656e-06,-8.177003110176884e-06,#,#
1563180845.304379,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
1563180845.3063788,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563180845.308379,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.310377,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.312378,100,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.803196,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.805194,#,0.01,50.0045656,8.4999635,-0.15,0.13,0.0,#,#,#,#,#,#,#,#
1563180845.807196,#,#,#,#,#,#,#,#,#,#,#,-3.877003564412007e-06,-8.177004019671585e-06,#,#
1563180845.8091938,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
1563180845.8111959,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.813194,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563180845.815194,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.817196,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.8191938,100,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180845.973193,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.0662549,#,0.01,50.0045656,8.4999635,-0.15,0.13,0.0,#,#,#,#,#,#,#,#
1563180846.068249,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.07025,#,#,#,#,#,#,#,#,#,#,#,-3.8770022001699544e-06,-8.177004019671585e-06,#,#
1563180846.072249,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
1563180846.07425,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563180846.076248,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.078249,100,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.0922499,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.352783,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.354781,#,0.01,50.0045656,8.4999635,-0.15,0.13,0.0,#,#,#,#,#,#,#,#
1563180846.356782,#,#,#,#,#,#,#,#,#,#,4,-3.8770062928961124e-06,-8.177007657650393e-06,#,#
1563180846.35878,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563180846.36078,100,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.5363069,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.539314,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.541308,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.615336,#,0.01,50.0045656,8.4999635,-0.15,0.13,0.0,#,#,#,#,#,#,#,#
1563180846.6173348,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.619345,#,#,#,#,#,#,#,#,#,#,#,-3.877007202390814e-06,-8.177009476639796e-06,#,#
1563180846.6213489,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
1563180846.623337,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.625335,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563180846.627333,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.6293309,100,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.939905,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.9414408,#,0.0,50.0045656,8.4999635,-0.15,0.13,0.0,#,#,#,#,#,#,#,#
1563180846.943441,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.949431,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.951434,#,#,#,#,#,#,#,#,#,#,#,-3.877008111885516e-06,-8.177014024113305e-06,#,#
1563180846.9534318,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.95544,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
1563180846.959957,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.9619648,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.963965,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563180846.9659638,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.967962,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.969956,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180846.971485,100,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.008481,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.0134878,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.022507,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.046511,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.047487,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.0494878,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.089145,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.090148,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.130153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1341538,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1361558,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.138161,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.139704,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.140672,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.143676,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1446788,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1466758,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.147672,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.14967,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1506689,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.152668,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1536698,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.15467,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.156672,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.157673,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.159669,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.16067,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.162669,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.164671,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.166672,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1676788,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.169693,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.173234,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.17523,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1772308,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1792328,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.181228,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.182767,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.184779,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1867778,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.18777,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1887648,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.189767,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.190763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1927629,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.193765,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1947649,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1957638,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.196765,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.1977649,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.198763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.199765,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2017698,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2047698,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.205772,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.207764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2107708,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2127678,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.214763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.215761,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.216763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2187638,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2197618,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2237659,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.226779,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.227772,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.228762,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.23278,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2347689,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.237781,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.239764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.241768,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.243794,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2447689,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.246763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.247762,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.248764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.249763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.250763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.251767,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2537649,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.254762,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.255765,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.256765,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.259764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2627609,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2647629,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.265761,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.266763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2677798,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.270776,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.272769,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.274767,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.277765,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.279764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2807648,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2827768,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.283766,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2847629,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.285764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2877638,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.288764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.289763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2907639,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.291764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.292763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2937639,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.294766,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.295764,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.296761,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.2977629,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.298763,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3027809,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3047829,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.308287,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.310292,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.311286,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3132908,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3142838,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.316284,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.317282,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.318282,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3192818,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3202798,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.322291,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.324285,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.326289,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.327282,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.328281,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.330282,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.33128,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.33228,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3332798,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3342829,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.33528,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3362799,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3382869,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.340288,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.34129,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3432798,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.345284,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.346287,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.348291,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.351296,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.3522859,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.354285,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.356283,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180847.357285,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
