x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
0	8.143	8.143	8.143	0.000	0.000	122.761	122.761	122.761	0.000	0.000
1	8.250	8.250	8.250	0.000	0.000	121.174	121.174	121.174	0.000	0.000
2	8.287	8.287	8.287	0.000	0.000	120.673	120.673	120.673	0.000	0.000
4	8.101	8.101	8.101	0.000	0.000	123.448	123.448	123.448	0.000	0.000
8	8.300	8.300	8.300	0.000	0.000	120.437	120.437	120.437	0.000	0.000
