x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
4	1.446	1.438	1.472	0.008	0.026	691.585	679.393	695.569	12.192	3.984
8	1.606	1.596	1.618	0.010	0.012	622.595	617.853	626.376	4.742	3.781
12	1.638	1.602	1.641	0.036	0.003	610.652	609.476	624.271	1.176	13.619
16	1.664	1.651	1.687	0.013	0.023	600.765	592.816	605.816	7.949	5.051
20	1.661	1.648	1.700	0.013	0.039	602.196	588.352	606.782	13.844	4.586
24	6.550	6.523	6.611	0.027	0.061	152.675	151.266	153.300	1.409	0.625
