x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
1	6.134	6.101	6.175	0.033	0.041	163.033	161.950	163.910	1.083	0.877
2	1.602	1.600	1.634	0.002	0.032	624.177	611.979	625.116	12.198	0.939
4	1.598	1.592	1.610	0.006	0.012	625.817	621.206	627.969	4.611	2.152
8	1.575	1.568	1.604	0.007	0.029	635.015	623.493	637.632	11.522	2.617
12	1.617	1.577	1.648	0.040	0.031	618.572	606.836	634.211	11.736	15.639
16	1.587	1.557	1.618	0.030	0.031	630.097	618.057	642.193	12.040	12.096
