x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
1	1.909	1.909	1.909	0.000	0.000	523.125	523.125	523.125	0.000	0.000
2	3.770	3.770	3.770	0.000	0.000	265.019	265.019	265.019	0.000	0.000
4	7.919	7.919	7.919	0.000	0.000	126.219	126.219	126.219	0.000	0.000
8	15.463	15.463	15.463	0.000	0.000	64.659	64.659	64.659	0.000	0.000
12	24.191	24.191	24.191	0.000	0.000	41.333	41.333	41.333	0.000	0.000
