x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
1	0.285	0.285	0.285	0.000	0.000	3504.345	3504.345	3504.345	0.000	0.000
5	0.552	0.552	0.552	0.000	0.000	1807.959	1807.959	1807.959	0.000	0.000
10	2.746	2.746	2.746	0.000	0.000	364.117	364.117	364.117	0.000	0.000
20	10.276	10.276	10.276	0.000	0.000	97.273	97.273	97.273	0.000	0.000
40	26.313	26.313	26.313	0.000	0.000	38.000	38.000	38.000	0.000	0.000
