x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
0	6.442	6.420	6.479	0.022	0.037	155.240	154.349	155.762	0.891	0.522
2	6.451	6.405	6.458	0.046	0.007	155.012	154.837	156.115	0.175	1.103
4	6.445	6.444	6.492	0.001	0.047	155.165	154.030	155.180	1.135	0.015
6	6.534	6.456	6.641	0.078	0.107	153.035	150.568	154.893	2.467	1.858
8	6.497	6.475	6.574	0.022	0.077	153.907	152.124	154.449	1.783	0.542
10	6.616	6.544	6.967	0.072	0.351	151.135	143.533	152.818	7.602	1.683
12	6.519	6.513	6.550	0.006	0.031	153.401	152.662	153.540	0.739	0.139
16	6.536	6.409	6.536	0.127	0.000	153.008	152.997	156.017	0.011	3.009
20	6.489	6.458	6.579	0.031	0.090	154.100	152.005	154.848	2.095	0.748
