x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
320	0.738	0.713	0.763	0.025	0.025	1356.379	1309.827	1402.930	46.552	46.552
640	1.212	1.209	1.215	0.003	0.003	825.168	823.108	827.227	2.060	2.059
960	1.385	1.373	1.398	0.012	0.012	721.657	715.115	728.199	6.542	6.542
1600	1.469	1.459	1.478	0.010	0.009	681.087	676.724	685.449	4.362	4.362
3200	1.589	1.586	1.592	0.003	0.003	629.345	628.294	630.396	1.051	1.051
6400	1.644	1.640	1.648	0.004	0.004	608.264	606.954	609.574	1.310	1.310
12800	1.659	1.657	1.662	0.002	0.002	602.710	601.790	603.630	0.920	0.920
25600	1.690	1.687	1.692	0.002	0.002	591.818	590.925	592.711	0.893	0.893
